player_id,player_name,team,position,minutes_played,goals,assists,shots_on_target,pass_accuracy_pct,tackles,saves,clean_sheets,yellow_cards,red_cards
P0001,Abdukodir Khusanov,Uzbekistan,DF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0002,Abdulla Abdullaev,Uzbekistan,DF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0003,Abduvohid Nematov,Uzbekistan,GK,N/A,N/A,N/A,N/A,N/A,N/A,5.0,N/A,N/A,N/A
P0004,Achraf Hakimi,Morocco,DF,N/A,N/A,2.0,4.0,90.0,N/A,N/A,N/A,1.0,0.0
P0005,Adrien Rabiot,France,MF,N/A,N/A,N/A,N/A,92.0,N/A,N/A,N/A,1.0,0.0
P0006,Aissa Mandi,Algeria,DF,N/A,N/A,N/A,N/A,93.0,N/A,N/A,N/A,N/A,N/A
P0007,Alan Minda,Ecuador,MF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0008,Aleksandar Pavlovic,Germany,MF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,0.0
P0009,Alessandro Circati,Australia,DF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0010,Alex Baena,Spain,MF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,0.0
P0011,Alexander Isak,Sweden,FW,N/A,N/A,3.0,6.0,N/A,N/A,N/A,N/A,N/A,N/A
P0012,Alexander Schlager,Austria,GK,N/A,N/A,N/A,N/A,N/A,N/A,15.0,N/A,N/A,N/A
P0013,Alexis Mac Allister,Argentina,MF,N/A,N/A,N/A,N/A,91.0,N/A,N/A,N/A,1.0,0.0
P0014,Ali Abdi,Tunisia,DF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0015,Alireza Beiranvand,Iran,GK,N/A,N/A,N/A,N/A,N/A,N/A,15.0,N/A,N/A,N/A
P0016,Alisson,Brazil,GK,N/A,N/A,N/A,N/A,N/A,N/A,15.0,N/A,N/A,N/A
P0017,Alistair Johnston,Canada,DF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0018,Amad Diallo,Côte d'Ivoire,FW,211.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0019,Andreas Schjelderup,Norway,MF,N/A,N/A,3.0,2.0,N/A,N/A,N/A,N/A,N/A,N/A
P0020,Andres Cubas,Paraguay,MF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,0.0
P0021,Angus Gunn,Scotland,GK,N/A,N/A,N/A,N/A,N/A,N/A,9.0,N/A,N/A,N/A
P0022,Anthony Elanga,Sweden,FW,247.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0023,Anthony Gordon,England,FW,N/A,N/A,3.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A
P0024,Antoine Semenyo,Ghana,MF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0025,Arda Guler,Türkiye,FW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0026,Ayase Ueda,Japan,FW,349.0,2.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0027,Aymen Dahmen,Tunisia,GK,N/A,N/A,N/A,N/A,N/A,N/A,6.0,N/A,N/A,N/A
P0028,Aymen Hussein,Iraq,FW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P0029,Aymeric Laporte,Spain,DF,N/A,N/A,N/A,N/A,94.0,N/A,N/A,N/A,N/A,N/A
P0030,Azzedine Ounahi,Morocco,MF,N/A,N/A,N/A,N/A,89.0,N/A,N/A,N/A,N/A,N/A
P0031,Bart Verbruggen,Netherlands,GK,N/A,N/A,N/A,N/A,N/A,N/A,17.0,N/A,N/A,N/A
P0032,Behruzjon Karimov,Uzbekistan,DF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0
P0033,Benjamin Asare,Ghana,GK,N/A,N/A,N/A,N/A,N/A,N/A,8.0,N/A,N/A,N/A
P0034,Bradley Barcola,France,FW,432.0,3.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
