team,total_players,total_goals,total_assists,total_shots_on_target,total_tackles,total_saves,total_clean_sheets,avg_pass_accuracy_pct,total_yellow_cards,total_red_cards
Algeria,5,2.0,3.0,1.0,N/A,9.0,N/A,93.0,0.0,0.0
Argentina,13,11.0,5.0,19.0,N/A,20.0,N/A,91.14285714285714,8.0,1.0
Australia,14,0.0,0.0,0.0,N/A,14.0,N/A,N/A,1.0,0.0
Austria,2,2.0,0.0,0.0,N/A,15.0,N/A,N/A,0.0,0.0
Belgium,11,8.0,8.0,6.0,N/A,17.0,N/A,92.0,1.0,0.0
Bosnia and Herzegovina,4,2.0,0.0,0.0,N/A,8.0,N/A,N/A,1.0,0.0
Brazil,6,7.0,5.0,2.0,N/A,15.0,N/A,96.5,0.0,0.0
Canada,9,5.0,3.0,4.0,N/A,7.0,N/A,N/A,3.0,0.0
Cape Verde,4,0.0,0.0,0.0,N/A,18.0,N/A,N/A,0.0,0.0
Colombia,7,0.0,0.0,0.0,N/A,7.0,N/A,90.0,2.0,0.0
Croatia,1,0.0,0.0,0.0,N/A,12.0,N/A,N/A,0.0,0.0
Curaçao,1,0.0,0.0,0.0,N/A,21.0,N/A,N/A,0.0,0.0
Czechia,1,0.0,0.0,0.0,N/A,11.0,N/A,N/A,0.0,0.0
Côte d'Ivoire,5,4.0,2.0,3.0,N/A,11.0,N/A,N/A,1.0,0.0
DR Congo,3,3.0,0.0,0.0,N/A,15.0,N/A,N/A,1.0,0.0
Ecuador,3,0.0,0.0,0.0,N/A,12.0,N/A,91.0,0.0,0.0
Egypt,7,2.0,4.0,7.0,N/A,14.0,N/A,88.0,2.0,0.0
England,12,16.0,10.0,14.0,N/A,25.0,N/A,93.5,2.0,0.0
France,11,19.0,14.0,38.0,N/A,15.0,N/A,89.33333333333333,1.0,0.0
Germany,8,6.0,7.0,6.0,N/A,7.0,N/A,94.0,1.0,0.0
Ghana,7,0.0,1.0,0.0,N/A,16.0,N/A,N/A,2.0,0.0
Haiti,3,0.0,1.0,0.0,N/A,13.0,N/A,N/A,0.0,0.0
Iran,2,2.0,1.0,0.0,N/A,15.0,N/A,N/A,0.0,0.0
Iraq,2,0.0,0.0,0.0,N/A,7.0,N/A,N/A,0.0,0.0
Japan,4,4.0,1.0,0.0,N/A,17.0,N/A,N/A,0.0,0.0
Jordan,2,0.0,0.0,0.0,N/A,8.0,N/A,N/A,0.0,0.0
Mexico,5,7.0,4.0,0.0,N/A,8.0,N/A,N/A,0.0,0.0
Morocco,10,5.0,9.0,9.0,N/A,19.0,N/A,91.25,1.0,0.0
Netherlands,9,8.0,7.0,4.0,N/A,17.0,N/A,94.0,0.0,0.0
New Zealand,5,3.0,2.0,2.0,N/A,11.0,N/A,N/A,0.0,0.0
Norway,10,7.0,9.0,5.0,N/A,17.0,N/A,93.0,0.0,0.0
Panama,2,0.0,0.0,0.0,N/A,9.0,N/A,N/A,1.0,0.0
Paraguay,6,0.0,2.0,1.0,N/A,28.0,N/A,N/A,4.0,0.0
Portugal,10,3.0,0.0,0.0,N/A,20.0,N/A,94.5,0.0,0.0
Qatar,2,0.0,0.0,0.0,N/A,16.0,N/A,N/A,0.0,0.0
Saudi Arabia,2,0.0,0.0,0.0,N/A,17.0,N/A,N/A,0.0,0.0
Scotland,5,0.0,0.0,0.0,N/A,9.0,N/A,N/A,0.0,0.0
Senegal,9,8.0,7.0,14.0,N/A,13.0,N/A,N/A,0.0,0.0
South Africa,2,0.0,0.0,0.0,N/A,14.0,N/A,N/A,0.0,0.0
South Korea,2,0.0,0.0,0.0,N/A,11.0,N/A,N/A,0.0,0.0
Spain,14,7.0,5.0,5.0,N/A,14.0,N/A,90.85714285714286,2.0,0.0
Sweden,14,4.0,5.0,12.0,N/A,12.0,N/A,N/A,0.0,0.0
Switzerland,11,7.0,5.0,8.0,N/A,20.0,N/A,92.25,2.0,1.0
Tunisia,5,0.0,2.0,1.0,N/A,6.0,N/A,N/A,0.0,0.0
Türkiye,3,0.0,0.0,0.0,N/A,8.0,N/A,N/A,0.0,0.0
United States,6,5.0,1.0,0.0,N/A,10.0,N/A,94.0,2.0,0.0
Uruguay,3,2.0,1.0,0.0,N/A,0.0,N/A,N/A,0.0,0.0
Uzbekistan,9,0.0,0.0,0.0,N/A,5.0,N/A,N/A,0.0,0.0
