player_name,team_code,position_raw,Goals,Assists,Minutes Played,team_code_Attacking,position_raw_Attacking,Assists_Attacking,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,team_code_Distribution,position_raw_Distribution,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),team_code_Defending,position_raw_Defending,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,team_code_Discipline,position_raw_Discipline,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,team_code_Goalkeeping,position_raw_Goalkeeping,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,team_code_Movement,position_raw_Movement,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,team_code_Physical,position_raw_Physical,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Abdukodir Khusanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,DF,36.46,218,93,27912.88
Abdulla Abdullaev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,DF,0,7,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abduvohid Nematov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,GK,1,0,0,0,,,,,,,,,UZB,GK,5,55,44,,,,,,,,,,,,,,,,,,
Achraf Hakimi,,,,,,MAR,DF,2,4,14,7,6,8,0,0.96,1.04x,21,MAR,DF,449,402,90,38,32,11,7,86,6,83,,,,,,,MAR,DF,7,16,1,0,0,0,,,,,,MAR,DF,253,79,114,60,102,151,12,92,167,971,MAR,DF,35.48,624,296,63750.68
Adrien Rabiot,,,,,,,,,,,,,,,,,,FRA,MF,351,323,92,2,0,2,13,77,1,100,,,,,,,FRA,MF,13,4,1,0,0,1,,,,,,FRA,MF,235,65,58,112,160,75,8,36,121,769,,,,,,
Aissa Mandi,,,,,,,,,,,,,,,,,,ALG,DF,382,357,93,0,0,0,5,20,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Minda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECU,MF,35.52,80,31,6170.77
Aleksandar Pavlovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER,MF,13,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Circati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,DF,0,12,48,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Baena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,MF,13,8,1,0,0,2,,,,,,ESP,MF,332,151,138,43,180,152,13,141,102,554,,,,,,
Alexander Isak,,,,,,SWE,FW,3,6,8,13,5,3,1,0.68,1.48x,0,,,,,,,,,,,,,SWE,FW,0,5,110,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUT,GK,15,85,74,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,,,,,,,,,,,,,,,,,,ARG,MF,430,393,91,1,0,1,3,33,3,100,,,,,,,ARG,MF,9,12,1,0,0,0,,,,,,ARG,MF,269,50,97,122,206,63,4,58,195,933,,,,,,
Ali Abdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUN,DF,34.81,343,150,29932.97
Alireza Beiranvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRN,GK,15,75,65,,,,,,,,,,,,,,,,,,
Alisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRA,GK,15,67,59,,,,,,,,,,,,,,,,,,
Alistair Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,DF,35.08,683,264,53458.13
Amad Diallo,CIV,FW,2,0,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Schjelderup,,,,,,NOR,MF,3,2,3,33,3,0,0,0.2,5.12x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andres Cubas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR,MF,14,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Angus Gunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCO,GK,9,75,64,,,,,,,,,,,,,,,,,,
Anthony Elanga,SWE,FW,2,0,247,,,,,,,,,,,,,,,,,,,,,,,,,SWE,FW,0,10,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,FW,37.16,211,118,24265.7
Anthony Gordon,,,,,,ENG,FW,3,4,6,17,6,0,2,0.7,1.43x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG,FW,35.79,474,232,43686.72
Antoine Semenyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA,MF,35.12,285,167,39933.84
